person_id,first_name,last_name,address1,address2,address3,email,phone,DOB
20100927-7856,Sune,Fransson,Lenavägen 99E,Skogstorp,12328,twikstrom@wallin.com,0154-646 10,2010-09-27

19731018-8406,Magnus,Dahlberg,Drottninggränd 8560,Östra Karup,177 12,zmansson@hotmail.com,+46 (0)813 850 15,1973-10-18

19790515-4459,Heinz,Björklund,Lillbacken 2406,Löttorp,91545,janolof33@yahoo.com,+46(0)1834109,1979-05-15

19871026-1118,Teresia,Jonasson,Brunnsstigen 9497,Vedevåg,342 33,folke.bengtsson@sandstrom.com,+464216775,1987-10-26

19890123-7992,Leontina,Lund,Hamngatan 583,Jäderfors,883 06,joachim83@sandstrom.org,0681559626,1989-01-23

20120915-6493,Severin,Sundberg,Lillliden 43,Röda holme,62039,pettersson.hansolof@gmail.com,+46 (0)6148292,2012-09-15

19870626-1422,Virginia,Isaksson,Holmqviststigen 3,Ås,963 27,alfons.hakansson@hotmail.com,08-985 07 92,1987-06-26

19950502-9523,Ingrid,Eklund,Åkessongatan 7,Taberg,809 25,jlindholm@berggren.info,+46 806 300 782,1995-05-02

19980502-7580,Fritjof,Hermansson,Drottninggränd 9,Lilla Stenby,69826,martinsson.vilhelmina@gmail.com,+46(0)95236708,1998-05-02

20170302-2802,Konstantia,Holmqvist,Gärdgränd 48,Ullervad,274 00,ferdinand59@holmberg.com,+46(0)6904619,2017-03-02

19790513-6681,Tina,Sjöberg,Kajgatan 542,Heberg,769 90,adele.johansson@hotmail.com,049-569 532,1979-05-13

20101027-7303,Svante,Bengtsson,Sjögrenvägen 97F,Strålsnäs,41366,lennart99@gmail.com,08-654 04 45,2010-10-27

19711016-2761,Leander,Magnusson,Sundströmstigen 3C,Åstol,89613,hedlund.wilhelmina@hellstrom.com,0695-413 37,1971-10-16

19710710-9797,Evy,Hansen,Lund Backe 7Z,Hemavan/Bierke,675 66,sjogren.vallentin@hedlund.org,013-439 18 87,1971-07-10

20170416-0671,Laurentius,Pettersson,Falk Backe 80,Norrskedika,33670,clofgren@yahoo.com,+46 (0)69448461,2017-04-16

19761113-2763,Julia,Löfgren,Sjögatan 28,Mjönäs,584 47,roger17@hotmail.com,08-216 76 13,1976-11-13

20080918-5855,Per-Ola,Holmberg,Storbacken 1630,Kinna,61145,olundberg@sjoberg.com,+46 (0)6381807,2008-09-18

20210813-6956,Nanny,Henriksson,Sjövägen 14C,Tjällmo,69756,laurentius52@lundqvist.com,+46 (0)18860170,2021-08-13

19750913-4013,Eilert,Larsson,Hamngränd 67,Märsta,436 27,ralph.bengtsson@arvidsson.com,072-833 794,1975-09-13

19870128-7274,Herman,Forsberg,Brunnsvägen 8,Bockara,62505,jjakobsson@yahoo.com,042673216,1987-01-28

20140830-2237,Albert,Hellström,Christelgatan 53H,Nättraby,875 80,vallentin27@eliasson.com,+46 (0)42615446,2014-08-30

20140426-5170,Martha,Jansson,Sjöstigen 24J,Listerby,464 86,olundberg@yahoo.com,+46 949 696 759,2014-04-26

19851104-4844,Fritiof,Åström,Sjögatan 34,Måttsund,960 12,ase85@jonsson.com,032-661 51 50,1985-11-04

20020414-1826,Lilian,Jakobsson,Söderberggränd 168,Snöveltorp,41655,gun.arvidsson@hermansson.com,+46(0)3474198,2002-04-14

19990330-8826,Rita,Lundgren,Hamnbacken 6R,Sexdrega,491 54,magnus.bjorklund@isaksson.biz,+46 (0)741 738 29,1999-03-30

20070106-1455,Judit,Nyberg,Carl-Axelgatan 46G,Svalöv,193 23,vastrom@ivarsson.com,+46(0)17256032,2007-01-06

19750625-2865,Ragnar,Wikström,Eklund Väg 814,Förslöv,56642,wallin.marina@yahoo.com,+46(0)15682824,1975-06-25

19860223-9107,May,Sundberg,Kungsgränd 238,Rättarboda,511 05,anni42@hotmail.com,+46(0)164037577,1986-02-23

19910814-4759,Görel,Håkansson,Falkgatan 6H,Holmsjö,358 54,axelsson.larsgunnar@berg.info,0481861810,1991-08-14

20180922-1516,Vivianne,Pålsson,Hermanssongränd 92,Ellös,885 86,manfred.axelsson@yahoo.com,023111004,2018-09-22

20190608-3307,Birger,Lundqvist,Brunnsliden 539,Björboholm,48378,berglund.bengtake@abrahamsson.com,+46(0)6158456,2019-06-08

19830627-8842,Christel,Larsson,Ringliden 24Z,Näsviken,69888,engelbert.wikstrom@yahoo.com,0879-395 62,1983-06-27

19800612-5501,Valentin,Andreasson,Ringliden 9,Vibble,454 79,mathias03@gmail.com,036681676,1980-06-12

20210712-3007,Karl-Gunnar,Eliasson,Drottningstigen 8,Bredviken,45112,lundin.ove@hotmail.com,014166987,2021-07-12

20001204-0013,Nanny,Berggren,Lillliden 727,Våxtorp,898 48,rlindberg@hotmail.com,08-697 24 26,2000-12-04

19880201-7733,Solvig,Jönsson,Ekström Allé 46P,Tomelilla,79379,sebastian.jonsson@hotmail.com,077-415 995,1988-02-01

20030519-9336,Eva-Marie,Hellström,Ann-Brittgatan 53X,Tuna,754 57,sfalk@sundberg.com,090-287 52 48,2003-05-19

19730913-9442,Siri,Henriksson,Linnévägen 1G,Höllviken,480 87,axelsson.dagmar@lindqvist.com,+46153356123,1973-09-13

19930416-4786,Christina,Sundström,Karlabacken 82,Dingersjö,994 14,mblomqvist@wallin.net,08-77 36 21,1993-04-16

19790810-9122,Ejnar,Hedlund,Julianagränd 99,Yngsjö,156 91,irene47@yahoo.com,+46 (0)8 392 32 25,1979-08-10

19930112-7536,Tommy,Blomqvist,Wikström Gata 994,Eslöv,22457,ljonsson@yahoo.com,+46(0)854388418,1993-01-12

19850801-8215,Alfrida,Pettersson,Nordin Allé 9J,Lammhult,864 81,mansson.janolov@hotmail.com,+46 (0)59549724,1985-08-01

19841118-1783,Sven-Åke,Eriksson,Berggrenliden 9,Barsebäckshamn,58600,perake19@gmail.com,+46(0)5994738,1984-11-18

20140830-9306,Bengt,Hedlund,Vilhelmgränd 6,Bie,132 68,lizzie.nystrom@nilsson.com,0262-101 51,2014-08-30

20220113-2225,Reidar,Hansen,Antoniusstigen 9,Linghem,741 07,boris.aberg@yahoo.com,+4689248356,2022-01-13

20040728-8603,Maj,Sundberg,Mattiasgatan 2240,Skultuna,45397,vlindqvist@arvidsson.info,+46 (0)50522536,2004-07-28

19990106-5875,Edith,Löfgren,Malingatan 98Y,Ringsegård,17922,jonsson.oliver@hotmail.com,+46 127 349 666,1999-01-06

19921222-4678,Naemi,Magnusson,Olofssonstigen 920,Hjuvik,195 26,fgunnarsson@gmail.com,+46 (0)9869127,1992-12-22

19790205-5655,Carl-Erik,Åkesson,Hamnliden 3334,Skivarp,65087,astrom.elvira@yahoo.com,+46300419131,1979-02-05

19980608-4532,Viola,Olofsson,Lundin Väg 8V,Mockfjärd,44731,ueklund@gmail.com,+46 (0)415 202 67,1998-06-08

19790607-3631,Eugén,Pålsson,Hamnvägen 38,Hedemora,55887,xlundqvist@hotmail.com,+4636265224,1979-06-07

19820131-6722,Sigmund,Larsson,Magnusson Backe 99P,Sösdala,612 38,annkristin60@yahoo.com,08-367 637 19,1982-01-31

19990404-2268,Salomon,Sandberg,Forsberggränd 85N,Ullånger,918 53,strom.madelene@hotmail.com,074355289,1999-04-04

19781016-4281,Kajsa,Åström,Edlabacken 51,Löwenströmska lasarettet,41529,peliasson@gmail.com,+469207339,1978-10-16

19981026-6380,Ines,Nordström,Blomqviststigen 32S,Dalsjöfors,745 82,tove.jakobsson@yahoo.com,08-311 871 03,1998-10-26

20190609-5399,Sixten,Ström,Kungsvägen 96X,Upplands Väsby,12914,olsson.frans@hermansson.net,034-719 98 03,2019-06-09

19910219-8970,Stefan,Blom,Brunnsgatan 1188,Karby,402 60,eklund.elsa@hotmail.com,08-04 09 91,1991-02-19

19810427-2381,Åke,Fredriksson,Norberg Gata 539,Ytterån,18030,malkolm96@hotmail.com,+46 (0)1859807,1981-04-27

19800210-2458,Percy,Åström,Hennybacken 1158,Jörn,42329,qwikstrom@sandberg.com,+46 (0)184 605 09,1980-02-10

19811227-5858,Heribert,Nyberg,Patrickliden 74N,Pålsboda,211 94,regina76@gmail.com,08-902 361 53,1981-12-27

20190603-2635,Carl,Sjögren,Emanuelstigen 361,Hönö,68962,nmansson@gmail.com,+46106720726,2019-06-03

19811203-5734,Pernilla,Sundberg,Ringstigen 27V,Rundvik,62225,sjogren.brittmari@hotmail.com,+46485558327,1981-12-03

19780804-9546,Ted,Lundin,Franzliden 4,Kolbäck,64315,ossian51@yahoo.com,+46 700 524 239,1978-08-04

19740202-8658,Magni,Nilsson,Lindberggränd 8T,Ekenässjön,98658,lindgren.lorentz@lundqvist.net,0677-526 29,1974-02-02

20160107-2857,Ture,Wallin,Ringgatan 1,Stavreviken,58581,tbergstrom@lundqvist.com,+46 (0)8 041 02 12,2016-01-07

19811226-6893,Hans-Olof,Hellström,Pålssongatan 1,Ingatorp,977 06,jonsson.inger@hotmail.com,+46(0)64112056,1981-12-26

20011104-4332,Börje,Martinsson,Nyberggatan 8719,Sjuntorp,587 13,holmgren.catarina@yahoo.com,+46(0)544849608,2001-11-04

19880501-2946,Eddy,Berg,Storliden 2U,Rot,85282,elna.viklund@gmail.com,+46 (0)8 609 83 30,1988-05-01

20050411-4871,Majbritt,Nyberg,Ringliden 89,Mala,857 76,norberg.florence@yahoo.com,+46 645 556 460,2005-04-11

20171124-2412,Alice,Karlsson,Lindgrenliden 87,Grästorp,44940,kjellake79@mattsson.com,+46 (0)17749817,2017-11-24

19780405-8082,Märta,Svensson,Drottningliden 8,Vidöåsen,16137,abrahamsson.karina@hakansson.net,077845768,1978-04-05

20170602-4209,Ernfrid,Holmqvist,Öbergbacken 554,Sörfors,405 69,qandreasson@lund.org,034-826 811,2017-06-02

20151106-0882,Per-Ola,Danielsson,Smågränd 6B,Svärdsjö,33159,ewa.pettersson@yahoo.com,026901032,2015-11-06

19960806-0416,Ann-Charlotte,Jonasson,Fransson Backe 9K,Örnsköldsvik,16065,perake35@hotmail.com,010-299 440,1996-08-06

20150309-9603,Salomon,Lindgren,Margarethagatan 58U,Älghult,61653,gunvor67@yahoo.com,+46 (0)68 37 04 38,2015-03-09

19721024-7442,Per-Olov,Sundqvist,Hamngatan 6N,Torbjörntorp,81154,runo49@hakansson.com,067110226,1972-10-24

20171214-0982,Serafia,Sandberg,Småbacken 664,Axvall,222 92,karlsson.glenn@hotmail.com,018-660 217,2017-12-14

20120304-1190,Gabriel,Ström,Drottningliden 801,Främmestad,983 53,justina.pettersson@gmail.com,+46(0)85801431,2012-03-04

19790428-0325,Louise,Mattsson,Drottningliden 4I,Knäred,64519,karlsson.rikard@claesson.info,+46 (0)4990667,1979-04-28

19840428-2166,Catarina,Holmqvist,Brunnsgränd 14,Sävja,521 80,marit.viklund@pettersson.com,0556-454 19,1984-04-28

19880606-2769,Fred,Hermansson,Hanssonbacken 44,Motala,67718,isak52@hermansson.info,095916057,1988-06-06

20211201-5052,Gotthard,Månsson,Johansson Allé 90,Kummelnäs,86840,hellstrom.frits@gmail.com,08-419 941 71,2021-12-01

20080417-8078,Aino,Åström,Arvidssonliden 10N,Röstånga,45525,antonius.jonsson@arvidsson.biz,+46 (0)2512398,2008-04-17

20211024-5300,Runar,Eliasson,Nilssonbacken 29,Bergsbyn,706 03,gbengtsson@gmail.com,+46 (0)6832708,2021-10-24

19700724-5421,Sigfrid,Holmberg,Ekvägen 5829,Bergshamra,531 26,zbergqvist@jonsson.biz,+46 (0)8 275 39 79,1970-07-24

20210719-5212,Stellan,Hedlund,Sandströmgränd 9952,Nykvarn,73998,blindstrom@hotmail.com,+46(0)253338517,2021-07-19

19741225-0391,Krister,Holm,Frankgatan 991,Södra Klagshamn,44342,maria28@sundstrom.info,051160878,1974-12-25

19770511-7927,Krister,Martinsson,Drottninggatan 5I,Växjö,69813,matti.hansen@hansson.net,+46(0)731741900,1977-05-11

20210525-8445,Carl-Johan,Jönsson,Linnégränd 2862,Billeberga,803 97,bjork.waldemar@berglund.com,+46 (0)685 434 885,2021-05-25

19951127-8692,Karl,Martinsson,Småliden 25,Berg,745 21,yblomqvist@yahoo.com,+462127738,1995-11-27

19950329-1093,Alexander,Gunnarsson,Norberg Väg 1077,Skivarp,85121,sune.lundstrom@gmail.com,066715458,1995-03-29

20060103-8593,Cecilia,Åström,Kungsstigen 56,Hedesunda,57075,unyberg@falk.com,+46(0)215955557,2006-01-03

19720416-1414,Vega,Holm,Marie-Louiseliden 8,Hörnefors,67214,bert74@gmail.com,08-504 71 18,1972-04-16

19950215-1232,Ragnhild,Lundqvist,Sjögränd 9,Västra Ingelstad,29385,bengtake19@lund.com,+46 (0)873 421 99,1995-02-15

19890507-8833,Ing-Britt,Jonsson,Vasaliden 69,Seskarö,884 63,glofgren@gmail.com,047-30 10 56,1989-05-07

19710531-2446,Antero,Hansson,Falkvägen 2M,Östervåla,89928,beda.olofsson@lind.com,08-21 50 52,1971-05-31

19701204-6102,Emmy,Hansen,Petterssonstigen 96N,Hasslarp,103 57,nandersson@martinsson.org,+46 (0)9549734,1970-12-04

20160503-7269,Mimmi,Ivarsson,Holmqvist Gata 160,Idala,88071,solofsson@sandstrom.com,+46 (0)991 497 05,2016-05-03

19890523-1762,Jerker,Ekström,Hilbertvägen 1,Nävekvarn,80150,blom.annmari@sandstrom.info,+46(0)4753482,1989-05-23

20060505-8760,Theodor,Samuelsson,Linnéstigen 9481,Fårösund,23411,elaine.fransson@yahoo.com,+46 (0)45 31 12 90,2006-05-05

19730410-8624,Oskar,Åkesson,Vasabacken 21Z,Berghem,82443,doris.palsson@bergman.com,+46(0)6207461,1973-04-10

20131207-3900,Michael,Berglund,Eklund Allé 63D,Vassbäck,92281,jekstrom@yahoo.com,08-455 58 90,2013-12-07

20040307-0618,Malkolm,Nilsson,Vasabacken 6,Oxelösund,62738,qholmgren@yahoo.com,049-95 35 89,2004-03-07

20140226-8643,Vilgot,Jönsson,Storgatan 694,Bälinge,113 87,engstrom.signhild@hotmail.com,+46(0)2622907,2014-02-26

20040101-2468,Henny,Björk,Linnéliden 48,Nikkala,730 60,dsvensson@hakansson.com,+46(0)431635714,2004-01-01

19940604-3833,Elna,Lindström,Bertilstigen 14S,Hudiksvall,30344,mansson.valter@blomqvist.info,0272-814 66,1994-06-04

20040310-2275,Sven-Åke,Larsson,Lundgränd 1,Trädet,43573,olof.ekstrom@yahoo.com,+46876816711,2004-03-10

19890615-2053,Abraham,Blomqvist,Sallygränd 919,Marma,413 29,ronald.palsson@gmail.com,056-064 38 20,1989-06-15

19850201-1159,Inga-Lena,Söderberg,Kungsbacken 8644,Gårdby,656 58,set.holmgren@gustafsson.com,+46 (0)8 939 02 49,1985-02-01

19950529-6455,Nina,Holmqvist,Hamnvägen 8,Högsäter,909 06,sundberg.henny@oberg.org,0190907269,1995-05-29

20111125-4294,Holmfrid,Eliasson,Nordinvägen 19D,Unbyn,69461,zabrahamsson@lundstrom.com,08-838 28 07,2011-11-25

20200807-5547,Anders,Sandberg,Fredsgränd 4,Olofstorp,99896,lstrom@gmail.com,084968666,2020-08-07

19780417-7059,Angela,Samuelsson,Holm Backe 6,Rödeby,19722,bernhard48@lofgren.com,+46(0)7423761,1978-04-17

19870227-9061,Tony,Berglund,Waltergatan 668,Örsundsbro,869 18,unystrom@magnusson.com,+46(0)50775189,1987-02-27

19781212-0312,Adela,Gustafsson,Sundströmbacken 3D,Bjurholm,12684,janolov50@gmail.com,+46 (0)8 596 68 60,1978-12-12

19761104-2460,Andrea,Blom,Lundberg Gata 49S,Garpenberg,164 13,hakansson.olov@wallin.net,+46 (0)23085739,1976-11-04

19810123-7785,Thorvald,Arvidsson,Gustafssonbacken 2K,Nås,621 09,xaberg@jonasson.com,+46 (0)341 361 069,1981-01-23

20211101-6395,Sigrid,Hansson,Nicklasgränd 9I,Norra Bro,31387,berg.helmi@sundberg.org,+46 (0)108 501 87,2021-11-01

19850404-2198,Alexandra,Hedlund,Lindgrengränd 9547,Mellerud,153 79,nmattsson@lofgren.com,+46 (0)85 55 79 00,1985-04-04

19760421-6079,Ada,Ek,Lundström Backe 94,Torsby,37937,anton73@persson.com,0205-503 28,1976-04-21

20060525-7154,Jan-Ove,Månsson,Katrinavägen 5,Kinnarp,98798,danielsson.mikael@gmail.com,+46(0)5266073,2006-05-25

19950303-6050,Adele,Andersson,Vasabacken 5A,Bodafors,59087,kristine.lindstrom@yahoo.com,074-192 61 36,1995-03-03

19750606-0381,Albert,Arvidsson,Ebbegatan 4,Bua,172 98,victoria57@hotmail.com,+46 881 258 729,1975-06-06

20090604-4199,Jan-Erik,Hansen,Adavägen 76,Fagersanna,44536,nicklas.bjork@yahoo.com,0642-969 61,2009-06-04

20050910-7424,Katharina,Lundström,Jangatan 7,Frinnaryd,59921,ester.lindberg@ekstrom.net,+46415726857,2005-09-10

19920820-7302,Berthold,Bengtsson,Vasagatan 672,Röfors,78870,lundstrom.helene@pettersson.info,032-699 56 10,1992-08-20

20180731-0960,Elsy,Nyström,Fredsgränd 2,Timmersdala,66452,walter69@yahoo.com,+463271085,2018-07-31

19740103-4055,Ejnar,Öberg,Reinebacken 4L,Rödeby,932 27,hedlund.elsemarie@yahoo.com,034961435,1974-01-03

20171010-5716,Verner,Lundqvist,Storvägen 1,Rävemåla,384 48,lsjogren@lindberg.com,0127528669,2017-10-10

20111213-0620,Ida,Persson,Lundbergstigen 907,Norra Rörum,49322,olofsson.davida@olofsson.org,0103-268 36,2011-12-13

20051015-4595,Märtha,Sjöberg,Petterssonliden 21G,Hyssna,28616,lind.sanfrid@forsberg.com,+46 (0)89024757,2005-10-15

19740107-4543,Roger,Eriksson,Lillstigen 775,Mörarp,95966,martensson.kristine@hotmail.com,+46(0)82096648,1974-01-07

19730808-2098,Kennet,Blomqvist,Hamnvägen 9F,Revingeby,14799,qberggren@danielsson.org,+46 (0)8 548 24 90,1973-08-08

19810816-3943,Judith,Blomqvist,Systerstigen 17Q,Skreanäs,258 57,sjoberg.hartvig@yahoo.com,019982255,1981-08-16

19890828-0408,Jens,Nordin,Ringvägen 3,Olofstorp,918 03,lorentz52@bergqvist.org,+4693726135,1989-08-28

19980609-4461,Marjatta,Lundström,Börjebacken 1O,Älvkarleby,978 24,alve.lund@gmail.com,074-879 18 94,1998-06-09

19710210-0774,Ellert,Lindgren,Ringvägen 2443,Årsunda,139 00,blom.petronella@hotmail.com,083651720,1971-02-10

19741001-9975,Eva-Lena,Martinsson,Bengtssonstigen 3335,Husby,82085,holm.signar@gmail.com,0968-644 19,1974-10-01

20200801-9222,Kennet,Persson,Löfgrenstigen 9859,Immeln,355 62,konstantia94@lind.com,+46 (0)3737656,2020-08-01

19890712-4981,Conny,Lund,Drottninggatan 3,Kinnared,77491,bengtolof01@yahoo.com,08-776 023 64,1989-07-12

20101120-4330,Gilbert,Lindgren,Drottninggatan 8330,Ödsmål,145 75,valentin.hermansson@hotmail.com,+46 (0)57 45 03 07,2010-11-20

19871113-2847,Carola,Holm,Svensson Väg 4,Kullö,736 10,norberg.ingeborg@yahoo.com,+46 (0)3802552,1987-11-13

19730129-1612,Konstantia,Sundqvist,Lindströmstigen 1965,Arontorp,99101,kaj.abrahamsson@hotmail.com,098431419,1973-01-29

20100104-2923,Antonia,Jonasson,Ekströmbacken 9384,Vik,248 63,alfrida.jonasson@gustafsson.com,092-328 419,2010-01-04

19861115-6400,Elon,Magnusson,Linnégränd 63,Hällberga,10462,mfransson@hotmail.com,08-176 623 19,1986-11-15

19900713-0886,Julia,Andreasson,Sjöstigen 2920,Hjälmared,66896,jane.hansen@lund.info,037535134,1990-07-13

19980910-4011,Majbritt,Holmgren,Inezgränd 242,Stockaryd,60358,qlindstrom@holmqvist.net,+46 833 014 462,1998-09-10

19940317-1207,Artur,Svensson,Holm Backe 253,Landfjärden,84942,percy96@hotmail.com,0296-322 37,1994-03-17

19770218-5409,Lisbeth,Larsson,Henrikssonbacken 47B,Österhagen och Bergliden,108 69,elvira28@gmail.com,+4649645121,1977-02-18

19930505-8718,Ally,Abrahamsson,Erikssonliden 7,Högsjö,29266,jlundin@nyberg.info,094-70 73 99,1993-05-05

19770902-4537,Halvar,Axelsson,Janssonbacken 7,Svappavaara,843 49,florence.larsson@yahoo.com,+46 (0)8 195 85 22,1977-09-02

20111125-8345,Eivor,Eklund,Vasabacken 49,Korsberga,901 30,magnhild24@yahoo.com,08-93 99 36,2011-11-25

20100902-2003,Torborg,Lindqvist,Smågatan 883,Blikstorp,19854,enar30@lofgren.com,08-261 56 83,2010-09-02

19941112-1345,Agneta,Björklund,Storbacken 7,Mjällom,342 44,nsandstrom@andreasson.com,+46 305 606 093,1994-11-12

20010209-9387,Ture,Lindström,Linnébacken 19A,Gränna,49202,clas37@hotmail.com,+46 (0)80271967,2001-02-09

19960511-1470,Leander,Jonsson,Ejnarliden 36,Fågelmara,14039,ossian.bergqvist@gunnarsson.biz,+46 (0)3013063,1996-05-11

19720109-6074,Erland,Nordin,Kungsliden 7,Marstrand,85103,lundin.margreta@sundqvist.com,+4673000037,1972-01-09

19870505-5734,Matti,Ekström,Martinssonvägen 49,Länna,774 59,lundgren.kaj@hotmail.com,08-916 78 27,1987-05-05

20001031-6906,Carina,Martinsson,Sjögränd 81,Åmål,97722,martinsson.mary@yahoo.com,+46240552724,2000-10-31

19750614-8867,Carola,Magnusson,Lillgatan 9B,Marma,378 39,emerentia.soderberg@gmail.com,089007143,1975-06-14

19860510-4711,Göran,Arvidsson,Andrealiden 5269,Åbyggeby,216 38,orjan.lindholm@jonsson.biz,0684-452 08,1986-05-10

20051019-6565,Torborg,Ek,Kristinaliden 8154,Blåsmark,981 88,fredriksson.magdalena@holmberg.com,08-35 19 58,2005-10-19

19791226-0965,Ing-Mari,Öberg,Drottninggatan 73Q,Herstadberg,623 94,bergman.bernhardina@sundstrom.org,0772-095 79,1979-12-26

19830201-1874,Nore,Fransson,Lundinliden 6J,Löberöd,407 57,larsove09@hotmail.com,+467901130,1983-02-01

19781115-6110,Henrietta,Sundberg,Vasabacken 187,Hällnäs,88306,pnorberg@hotmail.com,0684778468,1978-11-15

19730913-9854,Antero,Sandström,Sjögränd 4542,Sunne,820 15,aron73@hotmail.com,+46 (0)73806538,1973-09-13

20031027-8374,Signe,Nyberg,Lindgren Gata 1924,Trönninge,944 57,inga71@gustafsson.com,+46 (0)8 970 90 51,2003-10-27

19761127-5945,Gisela,Hellström,Storbacken 8,Skottorp,271 78,berg.elsemarie@lindstrom.info,+468198732,1976-11-27

20040625-3357,Rune,Danielsson,Ceciliabacken 13,Ryssby,76738,margreta56@blomqvist.com,+46 (0)890 102 97,2004-06-25

19830822-6249,Leif,Jakobsson,Nordin Allé 9128,Kärda,25553,ukarlsson@hotmail.com,+46 801 431 809,1983-08-22

20140723-9928,Ada,Holmqvist,Hellströmliden 23P,Årsunda,896 26,daisy53@gustafsson.biz,+46(0)31671703,2014-07-23

20160811-9704,Lars-Olof,Samuelsson,Katarinavägen 1622,Nässjö,40007,mona.nilsson@hellstrom.net,064-92 26 36,2016-08-11

20190301-6453,Beda,Gunnarsson,Jan-Olofbacken 71,Billeberga,653 27,carin.lindholm@gmail.com,+46 (0)8 497 91 72,2019-03-01

20120705-2643,Monica,Håkansson,Karlsson Allé 6X,Drottningholm,17858,zlindqvist@samuelsson.org,093-836 69 26,2012-07-05

19710508-1528,Lambert,Fransson,Håkanssongränd 6,Hoting,727 20,ture.wallin@yahoo.com,0832-647 27,1971-05-08

19880910-4501,Virginia,Wallin,Vasabacken 112,Virserum,24705,lhenriksson@lundin.com,+46845042582,1988-09-10

19871127-4878,Ossian,Fransson,Margotstigen 7170,Öregrund,791 22,dlundqvist@lundstrom.net,+46 (0)301 016 69,1987-11-27

20130412-9953,Ally,Falk,Carl-Erikliden 9,Marmaskogen,26335,anton.lindgren@holm.org,+46604712012,2013-04-12

20191016-9002,Britt-Marie,Holmqvist,Fredsvägen 71V,Påläng,10236,lisbet.nyberg@hotmail.com,+46(0)98026417,2019-10-16

20160828-0434,Florence,Lundström,Vasavägen 32O,Västra Ämtervik,68082,justina.jakobsson@gmail.com,08-007 79 78,2016-08-28

20040927-0737,Frank,Claesson,Lindholm Gata 68,Anderslöv,903 47,seved.bergstrom@hotmail.com,058-79 43 11,2004-09-27

19750110-4378,Raymond,Söderberg,Ringliden 18R,Stallarholmen,64706,hviklund@holm.com,+46(0)79395865,1975-01-10

19870627-3335,Caroline,Jönsson,Gudmundgränd 57W,Brännö,121 51,fingal78@hotmail.com,0650-805 35,1987-06-27

20160603-8196,Kerstin,Sjögren,Monicaliden 3,Duved,361 35,sandstrom.nancy@yahoo.com,+46 (0)162 666 91,2016-06-03

19970423-3708,Gertrud,Johansson,Fredsgränd 2091,Malmberget,824 53,natalia90@hotmail.com,+46 489 048 852,1997-04-23

20170630-1248,Jan-Olof,Björk,Lillbacken 4R,Matfors,42910,aolsson@nystrom.info,+4641908789,2017-06-30

19710514-2517,Gudrun,Sjöberg,Eklund Gata 5168,Alvik,16482,eliasson.josefina@jansson.org,064-914 914,1971-05-14

19720430-7494,Rose,Björk,Fredsbacken 173,Klippan,777 37,pererik11@yahoo.com,0949-904 53,1972-04-30

