email_id,contact_no,address1,address2,address3
wbjork@nyberg.info,"+46 (0)265 974 35","Fredsvägen 7",Åmmeberg,"961 99"
manne.lundstrom@hakansson.com,044306416,"Brunnsvägen 50K",Rolfstorp,41650
patrick.sjoberg@hotmail.com,"+46 (0)874 480 08","Bergstigen 63R",Åstol,96537
lindberg.syster@sjogren.com,+46143430970,"Lillstigen 4089",Ucklum,"774 49"
nystrom.eugen@nordin.com,0474495678,"Vasagatan 77G",Hyllinge,"825 52"
vberg@yahoo.com,"0913-240 28","Sjöliden 7473",Överum,"647 05"
tisaksson@gmail.com,"+46 (0)89 19 34 27","Vasagränd 66",Tenhult,44043
marielouise74@larsson.com,"+46 404 375 262","Fredsgränd 31",Misterhult,"147 21"
nabrahamsson@aberg.com,0610987627,"Liliangatan 7P",Hult,"399 47"
hilda05@henriksson.com,030500283,"Ringbacken 934",Vassbäck,59323
elsemarie60@gmail.com,"+46 (0)35174918","Marjattaliden 7G",Holmsund,"901 44"
nancy94@hotmail.com,"034-206 54 07","Sjögränd 34Y",Mariefred,88997
janove44@fredriksson.com,"08-795 516 26","Eklundliden 62",Åryd,"212 91"
rhermansson@engstrom.biz,"014-49 84 17","Anderssongränd 37R","Stensund och Krymla",27120
bolsson@blomqvist.com,"08-832 30 04","Lillstigen 10",Persberg,"140 21"
zaxelsson@gmail.com,"+46 (0)90803663","Ringbacken 21",Hovsta,76282
forsberg.nilserik@gmail.com,041650005,"Hamnvägen 7Q",Bjärsjölagård,17579
osjoberg@henriksson.net,"+46 (0)525 088 51","Kungsgränd 65V",Västerhejde,"402 27"
gunn56@gmail.com,"08-143 482 81","Ingegerdgatan 61O",Kil,"890 57"
osvald35@gmail.com,"08-176 786 05","Hamnliden 1",Storvreta,31125
mbengtsson@gmail.com,"08-451 898 77","Viklundliden 9Z",Återvall,"542 01"
paul.norberg@yahoo.com,+46(0)573112661,"Nordin Backe 6",Ödeshög,"296 33"
thure.akesson@yahoo.com,+4668895861,"Drottningstigen 20L",Bengtsheden,61764
vivan.lindqvist@lund.com,+46(0)63265596,"Fredsstigen 817",Mörtnäs,59598
tyko02@berg.info,"+46 (0)696 127 11","Valborggränd 32","Kumla kyrkby","387 49"
charles.falk@yahoo.com,"0573-860 01","Fredsstigen 635",Hagge,"976 25"
vhansen@yahoo.com,+46526542053,"Lundingatan 568",Järna,"549 41"
dbjork@gmail.com,"+46 (0)8 459 14 05","Fredsvägen 4209",Krokom,"729 54"
holmberg.maja@olofsson.com,"+46 (0)5159301","Olsson Backe 179",Klövsjö,69369
inez16@gmail.com,"0713-516 33","Eriksson Gata 65S","Lilla Edet",68236
dsamuelsson@gmail.com,"+46 (0)131 858 83","Ringgatan 68",Solberga,"199 57"
gmattsson@dahlberg.org,+462709808,"Vasagränd 25D",Stjärnhov,69374
ysundberg@lind.info,"+46 (0)749 086 86","Falk Gata 6",Gåvsta,84772
lindberg.matti@bergman.com,0836412750,"Vasastigen 6",Backe,55197
rmartensson@yahoo.com,"083-193 843","Vasagränd 76X",Grimstorp,44382
sisaksson@fredriksson.com,051356417,"Lillvägen 34",Hedekas,"493 00"
oberg.ronald@hotmail.com,+46720001212,"Linnéliden 573",Björsäter,62021
kristina63@yahoo.com,"+46 (0)8 551 88 17","Ringgatan 3313",Mora,"866 57"
soderberg.tea@hermansson.com,"072-977 13 50","Linnéliden 187",Gräfsnäs,41693
nberglund@gmail.com,"080-871 408","Fredsbacken 8L",Slite,"326 06"
holmgren.leon@yahoo.com,"08-98 95 45","Nybergstigen 41B",Solvarbo,"741 75"
marta.bergqvist@yahoo.com,+46554119462,"Brunnsbacken 14",Lammhult,54237
tsjogren@hotmail.com,089932745,"Storliden 765",Rydbo,"249 51"
psvensson@hotmail.com,"08-409 99 29","Jonssongränd 42K",Berg,"804 27"
hlindholm@yahoo.com,"+46 (0)479 824 345","Småvägen 9R",Fengersfors,"477 86"
ingvald.lundgren@gmail.com,010817024,"Brunnsgränd 51P",Blomstermåla,"674 92"
holmberg.eric@henriksson.com,"+46 (0)97942592","Åberg Allé 38",Mjällom,29440
svenolov07@hotmail.com,+46(0)445469901,"Sundqvist Gata 64E",Rolfstorp,"212 45"
birger.claesson@gmail.com,0587254642,"Dahlberg Allé 713",Lyrestad,"681 14"
clary.wikstrom@hotmail.com,"+46 (0)39 86 12 76","Lillgränd 9",Kastlösa,61412
sofie12@pettersson.info,+46(0)9122363,"Storvägen 1",Bärby,"619 68"
klind@norberg.net,"+46 (0)548 532 51","Hamnvägen 5R",Floda,10742
ibergqvist@gmail.com,0744198662,"Nordströmbacken 52",Sangis,52580
vnordstrom@hotmail.com,"013-77 25 66","Linnéliden 5",Runemo,49541
helen.holm@bjorklund.net,"0860-847 79","Hamnliden 27H",Lundsbrunn,99613
david57@yahoo.com,"+46 (0)21383635","Åströmstigen 3Z",Ränneslöv,28690
antonia.bergman@falk.biz,0928990791,"Sundberg Gata 8X",Bräcke,98737
frits32@gmail.com,084318288,"Lillstigen 961",Timmernabben,"406 34"
yjonsson@yahoo.com,"048-95 64 21","Linnéliden 47P",Solsidan,77023
sundqvist.charles@yahoo.com,+46(0)685097989,"Fredsvägen 284",Glommersträsk,"681 18"
aberg.arnold@hotmail.com,"056-163 02 02","Kungsgatan 4Q",Husby,54240
pmartinsson@gmail.com,"+46 (0)37 74 03 12","Karolagatan 5",Rosersberg,78033
alida28@gmail.com,"+46 (0)579 706 064","Lillgatan 8O",Söderala,59624
rhedlund@viklund.org,+46(0)74644076,"Drottningvägen 6H",Kåhög,69671
claesson.mats@ivarsson.com,"+46 143 699 000","Sjöstigen 6T",Vattnäs,"737 09"
ebbe58@hotmail.com,"+46 548 088 821","Ingegärdgränd 31S",Stugun,"181 17"
viktoria06@gmail.com,"+46 (0)8 249 64 66","Lillgränd 9249",Särö,"419 78"
wallin.karlgunnar@sundstrom.info,+468582507,"Gunvägen 3","Fjärås kyrkby","834 56"
lundgren.ragnar@hotmail.com,+46(0)109984616,"Drottningstigen 8044","Röda holme","732 65"
lofgren.solve@nyberg.biz,+46(0)4953506,"Berggrenbacken 6",Hedvigsberg,19948
kberggren@bergqvist.info,+46(0)2576112,"Forsberggatan 56O",Mölle,62038
axelia.oberg@gmail.com,"+46 (0)49437568","Sjöstigen 5577",Ödeshög,"375 78"
jonsson.justus@gmail.com,+46(0)6312901,"Jönssonstigen 3",Gimåt,"660 66"
may.olsson@hedlund.com,"08-130 30 19","Mathildagränd 9290",Hjälmared,"328 04"
maria60@aberg.com,"+46 976 869 892","Hamngränd 7077",Benareby,17498
adolf.nordin@dahlberg.biz,"070-433 24 49","Linnégatan 43A",Vännäsby,47308
larsake.svensson@yahoo.com,"0629-312 01","Sundqvist Backe 1L",Stöcke,"868 69"
hermansson.annalisa@hakansson.com,"045-69 07 79","Madelenevägen 83",Bjärnum,82406
isaksson.ulrika@yahoo.com,"08-62 29 25","Brunnsstigen 78",Hestra,"513 49"
nyberg.lilian@jonsson.com,+46(0)58891156,"Strömberggränd 7143",Jössefors,81141
amanda54@gmail.com,+4628701416,"Malvinagränd 612",Axvall,"713 65"
bergman.elvira@gmail.com,"08-36 39 63","Storgatan 14",Berg,69060
zmagnusson@gmail.com,+46(0)84807266,"Hertaliden 5566",Skultuna,"858 09"
thure83@arvidsson.biz,"055-602 956","Ringgatan 963","Södra Vrams fälad",41423
olsson.clara@gmail.com,"0808-451 96","Vasagränd 281",Fjällbacka,72313
soderberg.mickael@gmail.com,+46(0)9417200,"Jan-Olofvägen 5",Bredviken,74734
valfrid12@sundqvist.com,"025-442 959","Åkessongränd 48",Överum,"981 65"
ulla31@gmail.com,"08-80 39 49","Hamnliden 2998",Vegby,"599 05"
lindstrom.nils@yahoo.com,"+46 (0)742 513 875","Edvardliden 3S",Umeå,27056
wlofgren@eklund.org,0912700936,"Ek Allé 526",Säffle,14500
karlaxel.bengtsson@hotmail.com,"+46 (0)88911191","Lindströmvägen 3264",Linghed,82059
ojakobsson@holmberg.info,051019868,"Brunnsbacken 7278",Ucklum,85570
astrom.inga@yahoo.com,"08-591 25 54","Sjögrenstigen 8",Surahammar,81463
nsundqvist@samuelsson.com,+46(0)25331114,"Jakobsson Backe 2107",Björkvik,"171 55"
znilsson@blom.com,"+46 (0)46 99 43 75","Sundqvistgränd 105",Lagan,"198 89"
renee20@eriksson.com,"+46 (0)7098840","Axelssonbacken 2",Marma,27813
svante99@gmail.com,"+46 300 194 490","Arvidssonbacken 3",Blikstorp,"460 58"
berggren.annastina@hotmail.com,"+46 (0)719 838 87","Konradgatan 504",Kastlösa,"768 78"
justus.aberg@yahoo.com,+46974365592,"Hamnbacken 6",Hästhagen,"745 82"
meklund@axelsson.com,"08-982 153 95","Drottningliden 164",Sibbhult,"390 44"
sandberg.thorbjorn@holmberg.com,"+46 (0)240 501 97","Kungsgränd 7",Björkö,"854 16"
jean.berg@fransson.org,"+46 (0)8 888 81 04","Storstigen 3O",Lerum,"443 15"
bstrom@yahoo.com,"0834-864 38","Vasaliden 3B",Upphärad,"476 31"
lars.fredriksson@oberg.com,"+46 (0)59432592","Eklund Gata 3321","Klippans bruk",34925
bergman.vilhelmina@larsson.com,074374718,"Ringstigen 41A",Flyinge,38451
usandberg@gmail.com,+46566815408,"Linnéliden 3","Vinbergs kyrkby",42151
sigvard.nystrom@gunnarsson.info,"066-945 06 20","Hamnstigen 5",Låssby,73537
mansson.helen@hansson.com,"08-19 58 02","Sjögränd 14Y",Veddige,52882
jholmberg@hermansson.com,0153071457,"Brunnsgatan 4376",Eringsboda,"180 80"
gudmund74@gmail.com,"021-27 55 55","Smågränd 7579",Optand,"762 83"
diana.henriksson@gmail.com,"+46 (0)790 293 585","Linnégränd 4",Mala,48405
magnusson.carljohan@yahoo.com,+469924619,"Manfredgatan 6","Östra Ljungby",87188
soderberg.arvida@hotmail.com,"08-540 495 40","Hamnstigen 63",Ensjön,"583 93"
anni18@sundstrom.info,"08-139 626 30","Linnébacken 6S",Bjästa,"757 30"
antonius97@martensson.com,0798903305,"Micaelbacken 4076",Åhus,87406
pauline53@gmail.com,"08-477 891 13","Abrahamssongränd 78",Timmele,"371 39"
wjonsson@nyberg.info,"08-50 49 09","Arvidsson Gata 54P",Borensberg,"788 88"
edla18@lund.org,"019-10 05 00","Samgatan 30N",Holsljunga,72026
anncharlotte59@isaksson.org,"08-805 847 56","Unogatan 83",Björklinge,71727
hjalmar29@yahoo.com,"+46 (0)8454683","Danielstigen 2118",Väskinde,24274
osjoberg@hedlund.com,0295952549,"Öberg Allé 6R",Bredviken,81848
rebecka46@nordin.com,"020-70 16 43","Kungsbacken 1Y",Klågerup,"607 77"
roger.falk@sandberg.info,"098-484 78 24","Petrusbacken 3X",Åsby,"570 78"
oberg.folke@hotmail.com,078647245,"Wikström Allé 24D",Sjöberg,54824
jonsson.catharina@gmail.com,0153030926,"Strömberg Gata 42",Bäckhammar,47741
alindholm@hotmail.com,"08-354 591 90","Kungsbacken 7",Brastad,"232 35"
karina00@pettersson.org,+466299295,"Kungsvägen 89K",Grycksbo,39306
elias.henriksson@hotmail.com,"0577-023 98","Lillvägen 9548",Grebbestad,"688 29"
eriksson.janne@hotmail.com,+4630640752,"Storgränd 8",Högboda,29436
rhedlund@hotmail.com,"0520-529 99","Storgränd 91",Gunnarstorp,"720 23"
lofgren.sam@gmail.com,+46375515960,"Forsbergbacken 9916",Nykyrka,"956 23"
owe71@persson.com,0815212300,"Fredsvägen 860",Åsele,69466
martensson.petronella@lundgren.com,"0406-139 72","Annicaliden 922",Ängsholmen,"464 16"
nordin.irene@svensson.com,"0391-156 57","Isakssongränd 3960",Ölmanäs,95130
waldemar92@fredriksson.org,"095-92 44 24","Sjöberggatan 1",Uddebo,15733
qbjork@gmail.com,"0438-372 86","Jansson Allé 215",Vänersborg,"430 96"
hansolof.nyberg@yahoo.com,"08-852 599 48","Bergströmvägen 67C",Tulebo,"824 41"
zbengtsson@yahoo.com,"08-449 97 59","Brunnsstigen 64",Ardala,"587 14"
hermansson.konstantia@yahoo.com,0611040146,"Fredsvägen 300",Hjuvik,"406 74"
kholm@gmail.com,"+46 (0)27 00 82 77","Storgatan 54A",Vintrosa,98450
gunbritt01@lind.com,"0151-248 01","Lillliden 970",Linderöd,60411
dahlberg.larsgoran@olofsson.net,+466921126,"Ringgatan 69P",Ystad,86093
sjoberg.sylvia@falk.com,"0877-434 07","Hamnbacken 65",Yttersjö,27455
andersson.helena@lund.com,036016445,"Storvägen 282",Ovanåker,"972 28"
ingegard.nilsson@yahoo.com,+46405249583,"Blomqvist Gata 6",Tallåsen,37708
gpersson@axelsson.com,"+46 (0)2983084","Lillvägen 5",Skeppshult,43378
maxelsson@bergqvist.com,"0687-858 03","Småliden 2972","Skeda udde",34269
dhellstrom@bergstrom.biz,"08-451 337 40","Alfhildbacken 3729",Trulsegården,61966
katrina.nyberg@yahoo.com,"+46 (0)1417268","Storbacken 19",Storuman,"963 28"
victor.lofgren@yahoo.com,"+46 (0)52167592","Blomqvistgränd 30R",Strömma,95909
stig17@strom.net,"0334-125 94","Småvägen 5D",Drag,23895
anny51@hotmail.com,"08-97 73 36","Lillvägen 3J",Mora,48693
andreasson.par@hotmail.com,+46(0)5599879,"Ekströmgatan 74W",Hestra,82169
mattsson.greta@hotmail.com,"08-277 688 68","Vasagränd 49F",Gullspång,"308 84"
sdanielsson@yahoo.com,+4631013859,"Karlsson Allé 3374",Lugnvik,"260 11"
zjonsson@yahoo.com,"08-746 190 39","Bjarnegatan 157",Västerhaninge,23572
xsoderberg@engstrom.org,083162573,"Petronellastigen 986",Ankarsrum,57299
ehermansson@hotmail.com,"036-978 644","Öberg Backe 66",Hästholmen,"845 95"
charlotte93@gmail.com,"08-996 367 83","Smågatan 8243",Ardala,75052
berg.eugen@yahoo.com,+46(0)961052602,"Vasavägen 90",Glumslöv,54415
perolof.pettersson@hotmail.com,"+46 (0)417 759 75","Andreassonliden 662",Åled,"979 40"
lundberg.hans@hotmail.com,"+46 (0)863 081 98","Sjöstigen 7117",Geijersholm,"112 40"
ilindgren@astrom.com,"08-058 595 09","Martinsson Gata 39",Gyttorp,"822 30"
oberg.herman@gmail.com,"028-36 83 27","Fridolfstigen 4565",Hissjön,96028
gully06@pettersson.com,"+46 715 825 380","Hansson Backe 72",Torshälla,"398 07"
nystrom.frida@gmail.com,"+46 (0)14225529","Samuelvägen 531",Stallarholmen,"961 73"
rolf95@hotmail.com,"08-618 035 22","Ingevägen 3",Hultafors,46590
juliana28@arvidsson.com,+46953747634,"Frankliden 87",Mullsjö,"339 95"
tove.sandstrom@lundgren.com,"+46 986 492 665","Olofsson Allé 4",Revingeby,26712
george96@gmail.com,"08-252 699 77","Bergbacken 4S",Ramstalund,93663
mathias.ekstrom@yahoo.com,"08-826 81 98","Lindqvistbacken 4808",Alingsås,13584
helfrid93@nystrom.com,"+46 (0)1527100","Eliassongatan 785",Hindås,78404
zholm@gmail.com,+466858949,"Karl-Gunnarvägen 1",Åmynnet,49852
bforsberg@yahoo.com,"+46 (0)8 875 86 00","Lillgatan 1Y",Tystberga,"613 74"
claesgoran15@norberg.com,"+46 309 882 463","Jonassonvägen 576",Mellerud,13523
rfredriksson@lofgren.net,+46(0)1714283,"Drottningliden 6P",Grimslöv,"733 27"
esjoberg@yahoo.com,"+46 (0)60471932","Perssonliden 8M",Knutby,"565 80"
siv.olsson@ek.biz,"+46 (0)173 847 431","Ringgatan 25U",Klockestrand,58264
clarence71@eriksson.com,0430647503,"Olofssonliden 351",Svängsta,96197
isundberg@strom.com,"+46 (0)6787411","Nancystigen 69G",Gällstad,69175
jlindqvist@hotmail.com,"+46 (0)591 259 79","Ann-Christinvägen 1841",Äng,93054
blomqvist.gustaf@lundin.com,"043-773 99 61","Vasastigen 51",Rossön,"227 24"
norberg.rosemarie@yahoo.com,"+46 (0)574 650 763","Märthaliden 735",Lucksta,"906 84"
albin.martensson@hotmail.com,"035-36 57 27","Lillstigen 3",Söderhamn,51663
lindqvist.estrid@berg.com,+46(0)23478224,"Lillbacken 79",Sköldinge,63633
jansson.hansake@forsberg.com,"08-55 12 66","Helmigatan 3",Storuman,14677
afredriksson@fransson.com,097531645,"Sjövägen 6876","Ormanäs och Stanstorp","284 87"
sara.nordin@hellstrom.com,0721813279,"Jonsson Väg 1",Venjan,"475 17"
lundqvist.olavi@yahoo.com,+46(0)477225126,"Henrikssongränd 1647",Täfteå,86262
jpersson@hotmail.com,"039-99 19 64","Kungsbacken 39W",Figeholm,"360 73"
gustava68@blomqvist.info,+46(0)8710199,"Eklund Väg 2V",Bergshamra,57202
enar77@ivarsson.info,"08-375 57 51","Åkesson Väg 467",Björboholm,"193 99"
sundberg.karlgustav@karlsson.net,078867813,"Kungsbacken 84Z",Vartofta,"540 20"
mansson.jane@lindqvist.com,0670019073,"Gunnarsson Allé 16",Ystad,"447 81"
svensson.josef@hotmail.com,+466782794,"Andreasson Väg 1",Rolfs,23693
abrahamsson.ullabritta@eriksson.com,"+46 516 653 267","Anettestigen 251",Trollhättan,45489
svenolov.lofgren@holm.com,"+46 (0)251 567 961","Evegränd 9",Skrea,"925 63"
slofgren@gmail.com,"08-51 80 58","Holmbergvägen 9",Norrö,71939
jakobsson.tina@sundberg.com,+463734398,"Månssongatan 26",Skreanäs,"901 28"
mimmi.karlsson@lindstrom.com,"053-54 19 53","Sjögatan 1045",Hässleholm,14788
brittinger63@pettersson.com,"0944-503 77","Pålssonstigen 92",Rosvik,"770 49"
sjogren.susann@blomqvist.com,"+46 266 300 942","Sjögränd 609",Lerkil,"837 35"
clindgren@pettersson.com,+46330688806,"Svanteliden 6221",Hamburgsund,"584 30"
wholmgren@johansson.biz,"082-589 96 95","Karolinabacken 8",Lima,"105 95"
lilly94@hotmail.com,"+46 (0)39615430","Vasagatan 459",Skultorp,"320 89"
sjakobsson@gmail.com,"015-739 930","Danielssongränd 876",Olofstorp,"579 07"
gunbritt.nystrom@lundin.com,"096-406 32 27","Hanssongatan 6G",Karlsborg,61065
magnusson.evalena@gmail.com,+46698680623,"Småvägen 3782",Ersmark,65656
urban51@gmail.com,"+46 (0)78784231","Vasabacken 5T",Olsfors,"117 18"
ylundin@magnusson.com,"+46 (0)8 720 31 19","Brunnsgatan 7F",Ödsmål,73821
marina.abrahamsson@lundberg.com,"073-984 52 19","Hermansson Backe 237",Veinge,49345
deriksson@larsson.com,"+46 (0)94 31 75 10","Lillbacken 8",Töcksfors,71942
zlindstrom@gmail.com,"092-855 244","Norbergliden 97T",Sundborn,24311
tyra00@blom.com,+462727872,"Brunnsstigen 8835",Vartofta,"335 84"
jansson.frans@gmail.com,"08-74 19 13","Anderssonvägen 68","Östra Frölunda",47219
fransson.ronny@andersson.com,+46(0)1412172,"Hedlund Allé 1Q",Antnäs,"415 94"
