first_name,last_name
Michael,Andersson
Marianne,Lindholm
Ragna,Söderberg
Gert,Ivarsson
Asta,Berggren
Vilhelmina,Nyström
Elis,Nyberg
Mari-Ann,Lindström
Ing-Marie,Öberg
Rebecka,Holmberg
Kenth,Sundberg
Per-Olof,Lindqvist
Herbert,Eriksson
Berne,Jansson
Gull,Mårtensson
Heribert,Lind
Eva-Marie,Engström
Per-Anders,Löfgren
Davida,Sundström
Bengt-Olof,Håkansson
Märtha,Månsson
Bengt-Göran,Andreasson
Pierre,Holmberg
Catharina,Pettersson
Ing-Britt,Jonasson
Erland,Mattsson
Hjalmar,Mattsson
Mattias,Forsberg
Bernhardina,Lundin
Sofi,Bengtsson
Nanny,Pettersson
Esbjörn,Berg
Assar,Hansson
Örjan,Lund
Isidor,Lundgren
Staffan,Holmberg
Ann-Christin,Fredriksson
Sture,Bergqvist
Hadar,Martinsson
Hulda,Claesson
Gullvi,Lindberg
Karla,Pettersson
Douglas,Falk
Artur,Holm
Patrik,Pettersson
Elof,Lundqvist
Karina,Lind
Vanja,Bengtsson
Adéle,Söderberg
Bill,Holmgren
Eva-Britt,Jonsson
Sonja,Åberg
Gunilla,Sandström
Katharina,Gunnarsson
Eva-Lena,Ekström
Hjalmar,Sundström
Frida,Abrahamsson
Augustin,Jonsson
Fredrika,Jönsson
Anna-Lisa,Martinsson
Martina,Henriksson
Oscar,Nordin
Victoria,Ivarsson
Axelia,Löfgren
Jim,Berggren
Engelbrekt,Fransson
Evelyn,Åkesson
Pernilla,Eliasson
Birgitta,Engström
Tyko,Bergqvist
Katrina,Hellström
Ingbritt,Wikström
Gun-Britt,Åström
Rudolf,Jakobsson
Lars-Eric,Lindström
Eva,Andersson
Heinz,Bergqvist
Henriette,Norberg
Agnes,Jonasson
Set,Lindberg
Ingegärd,Björk
Carola,Lindqvist
Christer,Falk
Lillian,Dahlberg
Johanna,Henriksson
Sven,Jonasson
Jörgen,Johansson
Måns,Björk
Rune,Mårtensson
Valentin,Henriksson
Leontina,Sjöberg
Eddie,Ekström
Rakel,Arvidsson
Teresia,Åström
Gunni,Persson
Morgan,Lundin
Jan-Erik,Lind
Micael,Mattsson
Hillevi,Mattsson
Nikolaus,Abrahamsson
Fingal,Holm
Alexius,Hedlund
Eric,Jonasson
Charles,Sundström
Victor,Andreasson
Elin,Fredriksson
Veronica,Bergqvist
Holmfrid,Ekström
Ronny,Andersson
Vilma,Jonsson
Jesper,Björklund
Iris,Gunnarsson
Rita,Isaksson
Emilia,Nyberg
Agaton,Fredriksson
Mia,Hedlund
Kai,Ekström
Kåre,Berg
Beata,Magnusson
Per-Olov,Sundström
Kåre,Jonsson
Elvir,Andreasson
Madeleine,Eklund
Edmund,Berglund
Aino,Hansson
Britt-Inger,Eriksson
Jonny,Samuelsson
Rose,Falk
Ejvor,Hansson
Märit,Jakobsson
Torsten,Håkansson
Vilhelmina,Strömberg
Solvig,Hermansson
Olaus,Eliasson
Claes,Ek
Frans,Åström
Lena,Engström
Maj-Britt,Lundström
Emmy,Sjöberg
Thorvald,Eklund
Gösta,Bergström
Ernfrid,Axelsson
Ingmar,Sundberg
Adina,Norberg
Ulrik,Jansson
Hans-Olof,Jonasson
Daniel,Sundberg
Isidor,Bergqvist
Helny,Holmgren
Gully,Wallin
Erik,Sjögren
Yngve,Lund
Allan,Lindqvist
Kerstin,Arvidsson
Rosita,Larsson
Hugo,Bengtsson
Borghild,Sundström
Hilding,Wallin
Martin,Bengtsson
Ulla-Britta,Lindqvist
Nore,Olsson
Steve,Ekström
Görel,Eriksson
Marina,Åkesson
Eje,Eriksson
Åsa,Jonasson
Eva-Britt,Viklund
Tyko,Åström
Mathilda,Jakobsson
Alex,Johansson
Ingeborg,Berggren
Magda,Gustafsson
Valentin,Bengtsson
Carin,Jönsson
Victor,Claesson
Vera,Viklund
Petter,Ström
Hedvig,Mårtensson
Anselm,Danielsson
Renée,Lindberg
Henrietta,Falk
Joel,Hansson
Elof,Axelsson
Set,Norberg
Ally,Ek
Signar,Björklund
Inga-Lisa,Björk
Konstantin,Jönsson
Efraim,Fransson
Serafia,Larsson
Eve,Lundqvist
David,Abrahamsson
Sebastian,Johansson
Engelbrekt,Holmberg
Annica,Lundström
Arvid,Nyström
Desirée,Holmqvist
Rose-Marie,Isaksson
Tove,Olofsson
Eleonora,Ström
Ingvald,Norberg
Mona,Svensson
Rita,Berglund
Berta,Holm
Magdalena,Åström
Melker,Hedlund
Inga-Maj,Bergqvist
Natanael,Nyström
Joachim,Lindgren
Allan,Magnusson
Nelly,Lindholm
Ann-Britt,Nordström
Berthold,Mårtensson
Linda,Lundin
Sune,Sandberg
Anette,Norberg
Berit,Ek
Torvald,Claesson
Sven-Olov,Öberg
Ann-Sofie,Berg
Emelia,Nordström
Margit,Löfgren
Petronella,Lundqvist
Charlotte,Claesson
Magnus,Arvidsson
Fabian,Sandström
Pauline,Eliasson
Karl-Axel,Blom
Ros-Marie,Åberg
Joachim,Arvidsson
Britt-Inger,Larsson
Victor,Sjögren
Allan,Lind
Albertina,Lindholm
Martha,Forsberg
Ralf,Håkansson
Elving,Åkesson
Naemi,Blom
Ruth,Jonasson
Sverker,Martinsson
Inger,Söderberg
Göran,Viklund
George,Lindqvist
Joacim,Andreasson
Sivert,Ekström
Lambert,Hellström
Ingegärd,Holm
Runa,Bengtsson
Kersti,Ström
Else-Marie,Hedlund
Elvira,Lind
Susanne,Hansson
Astrid,Jonsson
Nanna,Håkansson
Sylvia,Nordström
Gunvor,Axelsson
Kerstin,Björk
Håkan,Danielsson
Tony,Persson
Eugén,Björklund
Knut,Arvidsson
Eufemia,Sandström
Vanja,Claesson
Martha,Viklund
Percy,Olofsson
Martina,Persson
Jonas,Nordström
Ulf,Ström
Leonard,Sjöberg
Aino,Engström
Knut,Ekström
Bengt-Göran,Hedlund
Hartvig,Martinsson
Melker,Löfgren
Anna-Greta,Hedlund
Clary,Lundqvist
Tage,Engström
Inga-Lisa,Bengtsson
Marika,Hedlund
Stanley,Axelsson
Johny,Hansson
Marta,Hedlund
Hilding,Ek
Ingela,Fredriksson
Isidor,Lund
Erika,Svensson
Raymond,Fredriksson
Augustin,Sandström
Solbritt,Holmgren
Ulrica,Mattsson
Theresia,Blom
Magda,Holmberg
Karina,Blomqvist
Gullbritt,Jönsson
Aino,Samuelsson
Alrik,Isaksson
Elfrida,Lindberg
Jan-Ove,Strömberg
Kennert,Larsson
Vivi,Wikström
Gustav,Eriksson
Ingvald,Pettersson
Albin,Åberg
Olle,Pålsson
Carola,Berglund
Harriet,Ström
Teresia,Svensson
Solbritt,Eliasson
Kent,Sandström
Hilmer,Eklund
Solvig,Lundström
Blenda,Samuelsson
Mariette,Holmberg
Evelyn,Claesson
Villy,Holm
Fritjof,Magnusson
Carina,Åström
Anders,Gunnarsson
Erika,Lindholm
Gunni,Nilsson
Dennis,Lindqvist
Lars-Erik,Hansen
Elisabeth,Söderberg
Claes-Göran,Hermansson
Rigmor,Mårtensson
Gottfrid,Åström
Ann-Kristin,Forsberg
Holmfrid,Öberg
Eva-Britt,Håkansson
Britt-Inger,Sjöberg
Fredrika,Blomqvist
Caroline,Fredriksson
Manfred,Sjögren
Marjatta,Persson
Gunda,Berglund
Irene,Eriksson
Lambert,Holm
Bruno,Lundström
Agnes,Lundberg
Eddy,Sundqvist
Fredrika,Berg
Susann,Isaksson
Gillis,Olsson
Claes,Lindgren
Vilma,Andersson
Per-Olov,Sundqvist
Donald,Pålsson
Anna-Greta,Lundberg
Henrietta,Nordström
Tom,Lundström
Carina,Lundström
Dick,Hansson
Helga,Håkansson
Patrik,Hedlund
Mathilda,Söderberg
Gun-Britt,Hermansson
Per,Olsson
Adela,Holmgren
Rose-Marie,Hellström
Vidar,Gustafsson
Alrik,Sjöberg
Mimmi,Wikström
Berth,Danielsson
Artur,Nyberg
Sören,Wallin
Anita,Ivarsson
Sune,Jönsson
Iris,Lindberg
Anette,Wikström
Ulla-Britta,Jonsson
August,Holm
Torvald,Sjögren
Lambert,Dahlberg
Östen,Lind
Mårten,Hedlund
Carl-Johan,Forsberg
Hugo,Lindqvist
Augusta,Lind
Signhild,Gustafsson
Eleonor,Karlsson
Leopold,Blom
Gunnel,Sjöberg
Ulrik,Mattsson
Karl-Gustaf,Bengtsson
Stefan,Lundin
Agneta,Söderberg
Allan,Fransson
Alfred,Sjögren
Alfhild,Björk
Andrea,Lundqvist
Simon,Hedlund
Ingvar,Lundqvist
Eric,Hedlund
Raymond,Hansen
Tonny,Norberg
Efraim,Lindberg
Stephan,Bergström
Ragnar,Eliasson
Benny,Söderberg
Else-Marie,Johansson
Donald,Bengtsson
Niclas,Ström
Hillevi,Sandberg
Elsie,Holm
Axel,Larsson
Olav,Eklund
Herta,Eklund
Adina,Månsson
Sofi,Fredriksson
Maria,Björk
Else,Månsson
Gabriel,Hermansson
Göran,Månsson
Egon,Pettersson
Emma,Nordström
Nelly,Martinsson
Tove,Svensson
Fingal,Lundin
Marie,Isaksson
Tove,Norberg
Elis,Jonsson
Ann-Christin,Holmgren
Henric,Olsson
Bengt,Olsson
Ragnhild,Nordin
Ole,Jönsson
Karl-Gustav,Lindgren
Aina,Ström
Yngve,Sjögren
Ann,Mårtensson
Jean,Bergman
Konstantia,Bergman
Benny,Abrahamsson
Britt,Sundqvist
Daga,Holmgren
Salomon,Löfgren
Johan,Jönsson
Kåre,Eklund
Claes-Göran,Arvidsson
Gilbert,Jonsson
Olov,Holm
Anna,Sjöberg
Oskar,Löfgren
Monica,Bergström
Helmer,Eliasson
Ulrik,Lundberg
Patric,Lindqvist
Elisabet,Löfgren
Gerd,Lindström
Ida,Isaksson
Annikki,Åberg
Gullbritt,Johansson
Konstantin,Sandström
Salomon,Nyström
Hulda,Holmgren
Per-Erik,Ekström
Katrina,Hermansson
Nora,Nordin
Vendela,Holmberg
Gunnel,Hermansson
Folke,Lind
Lars-Erik,Axelsson
Svante,Danielsson
Runo,Abrahamsson
Henry,Abrahamsson
Roine,Larsson
Lars-Olof,Forsberg
Annikki,Hermansson
Charles,Fredriksson
Britt-Marie,Karlsson
Olga,Sandström
Napoleon,Jakobsson
Elly,Nyberg
Vilhelmina,Lundin
Olav,Lundström
Sonja,Nordin
Agnes,Gunnarsson
Per-Erik,Wikström
Gunn,Lind
Synnöve,Persson
Karola,Engström
Lars-Åke,Pålsson
Lars-Ove,Hedlund
Jan-Erik,Mattsson
Ingeborg,Lundström
Jan-Ove,Jönsson
Ing-Britt,Lindqvist
Raymond,Ek
Ewa,Sundström
Ann-Sofi,Eriksson
Paulina,Bengtsson
Nils,Hansen
Inga-Lena,Bengtsson
Håkan,Larsson
Gotthard,Eriksson
Edla,Svensson
Alice,Åström
Sören,Johansson
Evelyn,Lundgren
Ann-Kristin,Gustafsson
Napoleon,Johansson
Laila,Berg
Roine,Henriksson
Mathilda,Fredriksson
Bengt-Olof,Svensson
Carl-Axel,Sandström
Carl,Lindberg
Margaret,Axelsson
Beata,Åkesson
Magdalena,Mattsson
Marit,Lindholm
Salomon,Hermansson
Leonard,Axelsson
Carolina,Bergman
Ola,Magnusson
Ejvor,Lundström
Nicklas,Månsson
Sigurd,Lind
Kajsa,Engström
Gullbritt,Olsson
Anna-Greta,Eliasson
Måns,Olsson
Inga-Lill,Dahlberg
Anna-Stina,Bengtsson
Ella,Strömberg
Patrik,Gustafsson
Ylva,Eklund
Kenth,Olofsson
Georg,Lindqvist
Harriet,Eliasson
Kennet,Sandström
Otto,Berggren
Yvonne,Håkansson
Karl-Erik,Håkansson
Antero,Holmgren
Laurentius,Löfgren
Ralf,Berggren
Saga,Isaksson
Karl-Gustav,Ek
Harriet,Lindholm
Johanna,Mårtensson
Fanny,Engström
Torgny,Engström
Eva-Britt,Eriksson
Marit,Blomqvist
Gideon,Ström
Kristian,Danielsson
Henrietta,Sundqvist
Davida,Johansson
Mathias,Jonasson
Daga,Lindqvist
Gustava,Hansson
Katrina,Lundberg
Elaine,Jakobsson
Agneta,Axelsson
Gun,Lindgren
Thomas,Mattsson
Lennart,Bengtsson
Gudrun,Claesson
Eivor,Samuelsson
Agaton,Nordin
Aron,Jönsson
Lisbet,Lundström
Vilhelmina,Bengtsson
Eve,Jansson
Adela,Håkansson
Daga,Sjögren
Jim,Danielsson
Else,Berg
Laura,Jönsson
Ingeborg,Berg
Ann-Sofi,Sundqvist
Aron,Hansen
Henrietta,Norberg
Hardy,Lundström
Heinrich,Öberg
Bror,Nordström
Signhild,Lundgren
Ann-Marie,Ström
Abraham,Lundin
Charlott,Abrahamsson
Stefan,Blom
Elsi,Karlsson
Ossian,Ekström
Jan-Olov,Eriksson
Sibylla,Fredriksson
Alice,Håkansson
Hildur,Andersson
Mats,Lundberg
Marit,Berg
Wilhelmina,Larsson
Augustin,Falk
Elias,Holm
Jessica,Lundström
Hubert,Blomqvist
Josef,Lund
Eivor,Mattsson
Friedrich,Lundin
Hildur,Pålsson
Fabian,Eliasson
Elaine,Eriksson
Louise,Sjöberg
Thore,Sundström
Lizzie,Bergman
Rita,Sundqvist
Lisbet,Jakobsson
Viktoria,Pålsson
Elmer,Hermansson
Johny,Löfgren
Manne,Andersson
Lillemor,Gunnarsson
Jan-Erik,Berglund
Tord,Berg
Anneli,Dahlberg
Juliana,Dahlberg
Abraham,Jönsson
Alf,Lindqvist
Axel,Holm
Annica,Lundberg
Gudrun,Viklund
Måns,Ekström
Svea,Andersson
Fritz,Öberg
Klara,Sandberg
Eugenia,Hellström
Charlotte,Nyström
Magda,Öberg
Inga-Lena,Ek
Anja,Jansson
Harald,Björk
Adéle,Löfgren
Margret,Ivarsson
Dick,Håkansson
Kristine,Åström
Ulrika,Isaksson
Margareth,Sandberg
Engelbrekt,Ivarsson
Edit,Wikström
Madeleine,Åkesson
Lars-Eric,Lindgren
Svea,Holmberg
Göta,Lundin
Leopold,Jönsson
Tyra,Söderberg
Torbjörn,Lundström
Boel,Gustafsson
Hedvig,Bergman
Kristian,Isaksson
Ada,Lund
Marie-Louise,Magnusson
Annie,Sjöberg
Gunnel,Ekström
Nils-Erik,Andreasson
Klas,Lindgren
Vivi,Jönsson
Agnes,Sandström
Lars-Olov,Jonsson
Fingal,Åkesson
Ann-Mari,Åberg
Jan-Eric,Hedlund
Hjördis,Bergman
Disa,Jansson
Gull,Lundin
Krister,Wikström
Aron,Hansson
Benny,Lundgren
Andreas,Månsson
Alfred,Norberg
Carola,Lindgren
Ronny,Karlsson
Margreta,Nordin
Kristina,Wikström
Renée,Jakobsson
Niklas,Sundström
Anselm,Lundqvist
Madeleine,Jönsson
Jörgen,Strömberg
Bodil,Nilsson
Alex,Bergman
Gerhard,Gustafsson
Leo,Björklund
Aldor,Eliasson
Borghild,Lindberg
Adelia,Lundin
Michael,Ivarsson
Carita,Fredriksson
Beatrice,Holmberg
Henrik,Sundqvist
Rita,Magnusson
Lena,Hedlund
Gun-Britt,Sundberg
Albert,Lund
Helny,Ström
Signar,Mårtensson
Vilhelmina,Sandberg
Ulrica,Björklund
Caroline,Berglund
Linda,Ekström
Stellan,Blom
Gotthard,Jansson
Krister,Nordström
Ros-Mari,Holmqvist
Josef,Gustafsson
Emmy,Löfgren
Seth,Nyberg
Brynolf,Jonsson
Nanna,Jönsson
Lars-Olov,Fransson
Tobias,Arvidsson
Linnea,Karlsson
Josefina,Sandström
Regina,Forsberg
Carina,Lindström
Naima,Fredriksson
Per-Erik,Jansson
Mickael,Hedlund
Ralph,Lindberg
Mari-Ann,Wikström
Karl-Gustaf,Eriksson
Sten,Lindström
Cristina,Åberg
Herman,Fransson
Alrik,Olsson
Britt-Mari,Blomqvist
Ivar,Dahlberg
Roger,Lindström
William,Nordström
Olga,Sundström
Irma,Engström
Louis,Hedlund
Jarl,Wallin
Marja,Eriksson
Daga,Nordin
Therése,Eriksson
Margreta,Hedlund
Anne,Strömberg
Terese,Strömberg
